UE,Éléments constitutifs,MCC 40%,Examen 60%,Moy EC,Coef,Étudiant
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,16.94,12.94,14.54,"1,00",Etudiant_176
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,17.25,8.14,11.79,"1,00",Etudiant_177
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,8.97,12.07,10.83,"2,00",Etudiant_177
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.31,15.07,15.56,"1,50",Etudiant_177
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,13.94,14.38,14.2,"1,75",Etudiant_177
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,13.2,11.5,12.18,"1,00",Etudiant_177
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,19.51,12.05,15.03,"1,00",Etudiant_178
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.21,15.52,15.0,"2,00",Etudiant_178
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,17.95,16.43,17.04,"1,50",Etudiant_178
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.82,19.29,15.1,"1,75",Etudiant_178
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.89,17.82,13.85,"1,00",Etudiant_178
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,13.92,10.02,11.58,"1,00",Etudiant_179
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,10.62,14.23,12.78,"2,00",Etudiant_179
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,11.24,19.28,16.06,"1,50",Etudiant_179
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.14,17.22,15.19,"1,75",Etudiant_179
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,8.96,19.2,15.1,"1,00",Etudiant_179
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,19.93,16.31,17.76,"1,00",Etudiant_180
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.59,11.82,12.93,"2,00",Etudiant_180
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.63,13.37,14.68,"1,50",Etudiant_180
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.77,9.8,10.99,"1,75",Etudiant_180
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,16.48,17.09,16.85,"1,00",Etudiant_180
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.71,15.46,13.16,"1,00",Etudiant_181
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,11.86,12.27,12.1,"2,00",Etudiant_181
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,9.34,14.57,12.48,"1,50",Etudiant_181
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.79,19.99,18.31,"1,75",Etudiant_181
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.31,13.1,13.98,"1,00",Etudiant_181
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,8.69,18.18,14.38,"1,00",Etudiant_182
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.21,9.48,8.57,"2,00",Etudiant_182
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,18.73,13.38,15.52,"1,50",Etudiant_182
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,14.04,9.69,11.43,"1,75",Etudiant_182
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,9.7,13.37,11.91,"1,00",Etudiant_182
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,17.79,18.48,18.21,"1,00",Etudiant_183
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,18.43,14.1,15.83,"2,00",Etudiant_183
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.06,14.2,14.54,"1,50",Etudiant_183
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.64,11.49,13.15,"1,75",Etudiant_183
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.05,17.14,17.9,"1,00",Etudiant_183
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.09,13.54,11.76,"1,00",Etudiant_184
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.83,15.59,15.28,"2,00",Etudiant_184
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,12.13,18.77,16.12,"1,50",Etudiant_184
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,14.55,16.43,15.67,"1,75",Etudiant_184
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,10.94,17.21,14.7,"1,00",Etudiant_184
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,8.3,11.79,10.4,"1,00",Etudiant_185
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.06,10.94,12.19,"2,00",Etudiant_185
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,11.03,7.6,8.97,"1,50",Etudiant_185
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,14.09,11.74,12.68,"1,75",Etudiant_185
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.73,15.99,15.88,"1,00",Etudiant_185
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,16.06,17.91,17.17,"1,00",Etudiant_186
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,16.38,18.9,17.89,"2,00",Etudiant_186
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,10.75,17.59,14.86,"1,50",Etudiant_186
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,16.11,17.93,17.2,"1,75",Etudiant_186
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,9.43,18.39,14.81,"1,00",Etudiant_186
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.82,14.63,14.7,"1,00",Etudiant_187
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.62,18.74,17.09,"2,00",Etudiant_187
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,13.35,17.47,15.82,"1,50",Etudiant_187
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,19.52,12.48,15.29,"1,75",Etudiant_187
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.76,9.26,13.46,"1,00",Etudiant_187
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.71,10.78,10.36,"1,00",Etudiant_188
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,12.92,13.11,13.03,"2,00",Etudiant_188
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.19,15.83,15.97,"1,50",Etudiant_188
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,13.49,14.75,14.25,"1,75",Etudiant_188
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,8.84,7.1,7.8,"1,00",Etudiant_188
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,8.99,17.45,14.07,"1,00",Etudiant_189
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.27,16.06,15.34,"2,00",Etudiant_189
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,11.16,18.98,15.85,"1,50",Etudiant_189
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.08,17.77,16.7,"1,75",Etudiant_189
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,11.12,15.9,13.99,"1,00",Etudiant_189
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,7.64,8.61,8.22,"1,00",Etudiant_190
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,19.11,14.94,16.61,"2,00",Etudiant_190
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,14.18,9.41,11.32,"1,50",Etudiant_190
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.63,7.98,8.24,"1,75",Etudiant_190
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,9.12,19.46,15.32,"1,00",Etudiant_190
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,11.6,14.02,13.05,"1,00",Etudiant_191
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,8.48,10.78,9.86,"2,00",Etudiant_191
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,11.24,9.69,10.31,"1,50",Etudiant_191
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.4,13.48,11.45,"1,75",Etudiant_191
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,17.11,11.67,13.85,"1,00",Etudiant_191
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,12.02,10.5,11.11,"1,00",Etudiant_192
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,17.26,13.71,15.13,"2,00",Etudiant_192
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,12.5,14.6,13.76,"1,50",Etudiant_192
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.94,14.73,12.42,"1,75",Etudiant_192
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,10.78,18.43,15.37,"1,00",Etudiant_192
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.44,11.89,12.91,"1,00",Etudiant_193
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.5,16.9,13.14,"2,00",Etudiant_193
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,9.17,19.75,15.52,"1,50",Etudiant_193
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,7.63,13.91,11.4,"1,75",Etudiant_193
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,8.89,16.53,13.47,"1,00",Etudiant_193
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,18.72,13.27,15.45,"1,00",Etudiant_194
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,8.66,7.51,7.97,"2,00",Etudiant_194
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,14.52,19.59,17.56,"1,50",Etudiant_194
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,9.26,16.0,13.3,"1,75",Etudiant_194
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,12.4,9.89,10.89,"1,00",Etudiant_194
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,11.5,7.73,9.24,"1,00",Etudiant_195
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,17.02,15.79,16.28,"2,00",Etudiant_195
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,14.73,11.18,12.6,"1,50",Etudiant_195
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,11.84,8.43,9.8,"1,75",Etudiant_195
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,12.44,10.98,11.56,"1,00",Etudiant_195
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,19.89,9.48,13.64,"1,00",Etudiant_196
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.58,9.39,8.66,"2,00",Etudiant_196
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.21,15.95,12.86,"1,50",Etudiant_196
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.28,16.98,16.3,"1,75",Etudiant_196
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.13,10.93,12.61,"1,00",Etudiant_196
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.35,16.18,15.45,"1,00",Etudiant_197
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.85,9.79,12.21,"2,00",Etudiant_197
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.35,13.59,14.69,"1,50",Etudiant_197
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,19.59,16.83,17.93,"1,75",Etudiant_197
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,11.77,12.37,12.13,"1,00",Etudiant_197
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,13.03,19.76,17.07,"1,00",Etudiant_198
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,8.38,15.41,12.6,"2,00",Etudiant_198
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.71,11.02,9.7,"1,50",Etudiant_198
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,10.49,15.69,13.61,"1,75",Etudiant_198
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,16.69,9.99,12.67,"1,00",Etudiant_198
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,17.34,15.45,16.2,"1,00",Etudiant_199
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,13.12,9.12,10.72,"2,00",Etudiant_199
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,18.59,10.44,13.7,"1,50",Etudiant_199
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,18.06,14.22,15.76,"1,75",Etudiant_199
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,14.51,14.64,14.59,"1,00",Etudiant_199
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.21,15.12,12.76,"1,00",Etudiant_200
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,9.89,14.35,12.57,"2,00",Etudiant_200
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.67,19.9,18.61,"1,50",Etudiant_200
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,7.0,13.77,11.06,"1,75",Etudiant_200
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,18.55,15.04,16.44,"1,00",Etudiant_200
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,13.17,7.15,9.56,"1,00",Etudiant_201
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.73,10.51,9.4,"2,00",Etudiant_201
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.24,17.4,13.33,"1,50",Etudiant_201
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,13.75,15.37,14.72,"1,75",Etudiant_201
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,17.82,18.6,18.29,"1,00",Etudiant_201
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,19.18,9.72,13.5,"1,00",Etudiant_202
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,13.39,18.15,16.24,"2,00",Etudiant_202
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,18.31,12.14,14.61,"1,50",Etudiant_202
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,18.44,10.94,13.94,"1,75",Etudiant_202
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,17.19,17.26,17.23,"1,00",Etudiant_202
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,10.85,19.47,16.02,"1,00",Etudiant_203
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,17.99,8.2,12.12,"2,00",Etudiant_203
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.69,9.23,12.21,"1,50",Etudiant_203
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.59,17.83,16.93,"1,75",Etudiant_203
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.1,11.55,9.77,"1,00",Etudiant_203
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,19.13,7.39,12.08,"1,00",Etudiant_204
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,10.25,13.28,12.07,"2,00",Etudiant_204
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,14.39,10.38,11.99,"1,50",Etudiant_204
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.76,12.79,12.78,"1,75",Etudiant_204
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.57,7.27,10.59,"1,00",Etudiant_204
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,16.88,11.84,13.85,"1,00",Etudiant_205
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,18.91,17.49,18.06,"2,00",Etudiant_205
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,19.92,11.26,14.73,"1,50",Etudiant_205
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.45,19.7,16.8,"1,75",Etudiant_205
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.01,17.26,16.36,"1,00",Etudiant_205
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,12.88,8.15,10.04,"1,00",Etudiant_206
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,17.85,17.65,17.73,"2,00",Etudiant_206
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.26,11.76,9.96,"1,50",Etudiant_206
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,11.71,18.7,15.9,"1,75",Etudiant_206
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.91,17.55,18.49,"1,00",Etudiant_206
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,17.0,12.0,14.0,"1,00",Etudiant_207
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,16.23,19.89,18.43,"2,00",Etudiant_207
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,13.37,16.59,15.3,"1,50",Etudiant_207
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,16.03,17.94,17.18,"1,75",Etudiant_207
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,17.13,17.62,17.43,"1,00",Etudiant_207
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,13.97,11.7,12.61,"1,00",Etudiant_208
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,9.4,15.17,12.86,"2,00",Etudiant_208
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,12.33,10.61,11.3,"1,50",Etudiant_208
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,16.11,14.64,15.23,"1,75",Etudiant_208
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,11.42,19.4,16.21,"1,00",Etudiant_208
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,16.74,10.7,13.11,"1,00",Etudiant_209
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,13.7,15.29,14.66,"2,00",Etudiant_209
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.07,8.75,8.47,"1,50",Etudiant_209
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,11.6,19.87,16.56,"1,75",Etudiant_209
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,11.12,15.58,13.8,"1,00",Etudiant_209
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,18.09,10.94,13.8,"1,00",Etudiant_210
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,13.82,7.88,10.25,"2,00",Etudiant_210
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,11.74,12.24,12.04,"1,50",Etudiant_210
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,10.66,18.23,15.2,"1,75",Etudiant_210
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.2,13.74,15.93,"1,00",Etudiant_210
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,8.53,15.44,12.68,"1,00",Etudiant_211
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.54,10.14,11.9,"2,00",Etudiant_211
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.54,9.81,9.3,"1,50",Etudiant_211
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,18.43,9.71,13.2,"1,75",Etudiant_211
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,18.59,15.25,16.59,"1,00",Etudiant_211
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,16.07,11.36,13.24,"1,00",Etudiant_212
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.06,7.93,7.58,"2,00",Etudiant_212
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.28,17.05,13.54,"1,50",Etudiant_212
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,19.24,19.36,19.31,"1,75",Etudiant_212
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.33,12.4,15.17,"1,00",Etudiant_212
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,11.11,8.35,9.45,"1,00",Etudiant_213
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.72,8.25,10.84,"2,00",Etudiant_213
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,10.69,18.75,15.53,"1,50",Etudiant_213
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,19.87,8.22,12.88,"1,75",Etudiant_213
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.41,8.51,11.27,"1,00",Etudiant_213
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.44,7.15,10.07,"1,00",Etudiant_214
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.27,7.38,10.14,"2,00",Etudiant_214
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,13.65,14.53,14.18,"1,50",Etudiant_214
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.46,9.43,12.64,"1,75",Etudiant_214
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,11.05,16.32,14.21,"1,00",Etudiant_214
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,17.75,17.37,17.52,"1,00",Etudiant_215
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.57,18.01,13.83,"2,00",Etudiant_215
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.75,19.63,18.48,"1,50",Etudiant_215
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.34,17.56,16.67,"1,75",Etudiant_215
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,16.94,18.58,17.92,"1,00",Etudiant_215
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,8.85,15.87,13.06,"1,00",Etudiant_216
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,17.52,7.37,11.43,"2,00",Etudiant_216
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.6,15.63,12.42,"1,50",Etudiant_216
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.24,12.97,12.68,"1,75",Etudiant_216
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.47,10.73,9.43,"1,00",Etudiant_216
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,19.33,14.95,16.7,"1,00",Etudiant_217
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.97,9.77,12.25,"2,00",Etudiant_217
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,14.64,8.28,10.82,"1,50",Etudiant_217
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,18.35,7.89,12.08,"1,75",Etudiant_217
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,14.7,16.17,15.58,"1,00",Etudiant_217
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.69,11.33,12.67,"1,00",Etudiant_218
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,8.83,9.58,9.28,"2,00",Etudiant_218
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.61,17.9,16.98,"1,50",Etudiant_218
